# timestamp tx ty tz qx qy qz qw
0.0 0.751426 -0.400088 0.442184 -0.220502 -0.141435 -0.060875 0.963156
0.1 0.445553 -0.385690 0.287599 -0.218059 -0.036575 -0.057675 0.973543
0.2 0.549609 -0.391775 0.360767 -0.202321 -0.068401 -0.051002 0.975595
0.3 0.562456 -0.370464 0.351145 -0.202465 -0.067547 -0.054592 0.975431
0.4 0.572678 -0.299899 0.296760 -0.202185 -0.061083 -0.059520 0.975627
0.5 0.673316 -0.297519 0.343444 -0.198186 -0.080245 -0.063537 0.974806
0.6 0.741932 -0.228607 0.365224 -0.203196 -0.110407 -0.062750 0.970868
0.7 0.739101 -0.224666 0.366165 -0.201647 -0.110424 -0.061959 0.971239
0.8 0.644043 -0.234493 0.313719 -0.207483 -0.091253 -0.058857 0.972193
0.9 0.644043 -0.234493 0.313719 -0.207483 -0.091253 -0.058857 0.972193
1.0 0.885430 -0.438607 0.409769 -0.194254 -0.118966 -0.051431 0.972351
1.1 0.537773 -0.374974 0.264194 -0.184025 -0.024215 -0.052419 0.981224
1.2 0.587023 -0.458053 0.542987 -0.152608 -0.103465 -0.108996 0.976794
1.3 0.713042 -0.376701 0.531653 -0.162514 -0.130194 -0.105021 0.972425
1.4 0.186557 -0.455485 0.326106 -0.178710 -0.031885 -0.064624 0.981259
1.5 0.356892 -0.109264 0.404679 -0.080710 -0.054535 -0.055092 0.993719
1.6 0.414226 0.500994 0.614345 0.185012 -0.110984 0.000411 0.976449
1.7 0.260795 -0.415672 0.277872 -0.197765 -0.031442 -0.058077 0.978022
1.9 0.288184 -0.233973 0.282955 -0.161497 -0.003929 -0.049371 0.985630
2.0 0.180607 -0.237730 0.271403 -0.153937 0.014581 -0.053918 0.986501
2.1 0.205563 -0.315174 0.204857 -0.218050 0.023512 -0.077662 0.972559
2.2 -0.101218 0.105134 0.349187 -0.017784 0.045803 0.004357 0.998783
2.3 0.384126 -0.403231 0.386505 -0.151229 -0.092148 -0.073059 0.981479
2.4 0.207675 -0.015126 0.381136 -0.074803 -0.067582 -0.067320 0.992625
2.5 0.526643 -0.134173 0.666684 -0.060351 -0.211313 -0.038315 0.974801
2.6 0.329604 -0.492096 0.607875 -0.196052 -0.127432 -0.039450 0.971477
2.7 0.223313 -0.340118 0.316635 -0.133538 -0.019802 -0.065377 0.988687
2.8 0.029419 -0.303720 0.287007 -0.123248 0.006267 -0.057795 0.990672
2.9 -0.104738 0.039859 0.260365 -0.082162 0.023515 -0.043199 0.995405
3.0 0.477377 -0.493228 0.346700 -0.157751 -0.077457 -0.070709 0.981894
3.1 0.286560 -0.430992 0.642206 -0.110417 -0.151260 -0.095603 0.977644
3.2 0.178320 -0.283187 0.264962 -0.141854 0.001669 -0.054648 0.988377
3.3 0.196187 -0.257782 0.266256 -0.154936 -0.020101 -0.065768 0.985528
3.4 0.057952 -0.276691 0.246176 -0.159764 0.000397 -0.063124 0.985135
3.5 0.081028 -0.246256 0.228101 -0.142710 0.008496 -0.059501 0.987938
3.6 0.133724 -0.360926 0.244863 -0.192676 -0.052556 -0.090371 0.975678
3.7 0.123021 -0.316378 0.353745 -0.147244 -0.079544 -0.070190 0.983395
3.8 -0.042084 -0.342776 0.255130 -0.147580 -0.002001 -0.070220 0.986552
4.0 0.231358 0.305192 0.584358 0.113113 -0.164666 -0.048539 0.978639
4.1 -0.320335 -0.337745 0.216456 -0.177789 0.046271 -0.060904 0.981092
4.2 -0.076819 -0.340397 0.402641 -0.108913 -0.006721 -0.031035 0.993544
4.3 -0.087131 -0.250786 0.260633 -0.154388 -0.010983 -0.062375 0.985978
4.4 0.173670 -0.270940 0.311100 -0.151652 -0.063005 -0.059251 0.984643
4.5 0.082693 -0.307301 0.263545 -0.151953 -0.046498 -0.058943 0.985532
4.6 -0.156445 -0.495279 0.157594 -0.220285 -0.002418 -0.085048 0.971718
4.7 -0.082496 -0.386756 0.228397 -0.181929 0.010041 -0.071148 0.980683
4.8 -0.064326 -0.329838 0.231910 -0.149960 0.002063 -0.065269 0.986533
4.9 0.038271 -0.283820 0.278662 -0.158002 -0.060882 -0.066342 0.983325
5.0 0.119544 -0.185275 0.306744 -0.159718 -0.079346 -0.062367 0.981990
5.1 0.017777 -0.185172 0.249180 -0.162406 -0.059433 -0.064693 0.982806
5.2 0.137489 -0.385156 0.278463 -0.177238 -0.050645 -0.074835 0.980011
5.3 0.025075 -0.477918 0.290671 -0.164888 -0.045087 -0.069925 0.982797
5.4 0.182379 -0.540179 0.407615 -0.197632 -0.110677 -0.101370 0.968719
5.5 0.021034 -0.584356 0.362241 -0.188835 -0.060843 -0.111119 0.973803
5.6 0.455639 -0.245908 0.737608 -0.102242 -0.240389 -0.043921 0.964277
5.8 0.512427 -0.255947 0.748761 -0.163596 -0.247540 -0.081929 0.951445
6.1 0.575128 -0.749943 0.660520 -0.294795 -0.229463 -0.083704 0.923816
6.3 0.534052 -0.383395 0.636689 -0.174617 -0.202553 -0.083046 0.959992
6.8 -0.014878 -0.480211 0.171407 -0.194206 0.059282 -0.085937 0.975389
7.0 0.313493 0.022809 0.259819 -0.106554 -0.021264 -0.050906 0.992775
7.2 0.380610 -0.537866 0.327322 -0.179176 -0.032053 -0.097679 0.978431
7.3 0.418527 0.506474 0.376870 0.219792 -0.038393 -0.035634 0.974139
7.4 0.385800 -0.566935 0.236531 -0.202856 -0.022953 -0.094926 0.974326
7.7 -0.146835 -0.550553 0.324782 -0.216153 0.215841 -0.025098 0.951872
7.8 0.944160 -0.262398 0.881997 -0.164413 -0.265034 0.012898 0.950031
7.9 0.815867 -0.493472 0.392374 -0.208388 -0.094187 -0.090718 0.969264
8.1 1.063080 -0.623828 0.635727 -0.278994 -0.189961 -0.054400 0.939744
8.2 0.810704 -0.509690 0.459875 -0.202594 -0.094002 -0.080691 0.971395
8.3 0.596589 -0.360636 0.322487 -0.149565 -0.014334 -0.065532 0.986474
8.4 0.830972 -0.466720 0.384173 -0.180205 -0.068946 -0.094827 0.976617
8.5 0.654781 -0.244059 0.256733 -0.158105 0.006344 -0.048698 0.986200
8.6 0.776189 -0.188807 0.301096 -0.254353 -0.082544 -0.043379 0.962605
8.7 0.907121 -0.428468 0.261723 -0.211677 0.005503 -0.040162 0.976499
