# timestamp tx ty tz qx qy qz qw
0.0 0.769363 0.195225 0.608249 0.062430 -0.297347 0.001406 0.952725
0.1 0.678853 0.412112 0.607719 0.164167 -0.267454 0.017389 0.949324
0.2 0.083238 -0.166201 0.982572 -0.042280 0.037865 -0.053827 0.996936
0.3 0.740338 0.181937 0.647146 0.064259 -0.306582 -0.005084 0.949659
0.4 0.627910 -0.172761 0.758869 -0.065653 -0.142024 -0.025546 0.987353
0.5 -0.207943 -0.131888 0.969209 -0.047172 0.075342 -0.046909 0.994936
0.6 -0.663210 -0.063880 0.745703 -0.049172 0.233592 -0.021119 0.970861
0.7 0.605839 -0.153960 0.780548 -0.051226 -0.062539 -0.096091 0.992084
0.8 -0.711065 0.036309 0.702189 -0.007885 0.635563 0.012751 0.771903
0.9 -0.432319 -0.177242 0.884130 -0.074708 0.157145 -0.035573 0.984103
1.0 -0.440945 -0.237186 0.865627 -0.094886 0.165780 -0.042547 0.980665
1.1 -0.128302 -0.151437 0.980105 -0.064454 0.084302 -0.024053 0.994063
1.2 0.422307 -0.007251 0.906424 -0.034525 -0.064220 -0.025272 0.997018
1.3 -0.203525 -0.153493 0.966963 -0.065645 0.097930 -0.026560 0.992671
1.4 -0.700643 -0.075133 0.709545 -0.056527 0.322857 0.028863 0.944317
1.5 0.641260 0.012201 0.767226 0.071685 -0.487655 -0.136092 0.859379
1.6 -0.003909 0.304352 0.952552 0.028589 0.040289 -0.073523 0.996069
1.7 0.079612 -0.158396 0.984161 -0.053794 0.055387 0.068402 0.994666
1.8 0.165671 -0.155490 0.973846 -0.060678 0.017366 0.022826 0.997745
1.9 -0.136248 -0.149809 0.979282 -0.060404 0.088775 -0.053197 0.992794
2.0 -0.229376 -0.203433 0.951841 -0.077722 0.113806 -0.048155 0.989287
2.1 -0.504268 -0.188660 0.842687 -0.092593 0.194592 -0.085507 0.972753
2.2 -0.160379 -0.190279 0.968541 -0.071572 0.090379 -0.059120 0.991571
2.3 0.595458 -0.024152 0.803023 -0.037210 -0.052045 -0.071327 0.995399
2.4 0.332564 -0.074574 0.940127 -0.045500 -0.027751 0.005375 0.998564
2.5 0.782499 0.091791 0.615849 0.078580 -0.390693 -0.144359 0.905729
2.6 0.100875 -0.154901 0.982766 -0.052394 -0.011309 -0.064463 0.996480
2.7 -0.703590 -0.112244 0.701686 -0.084330 0.458571 0.023887 0.884325
2.8 -0.636059 -0.188591 0.748240 -0.098028 0.214885 -0.050114 0.970414
2.9 0.833761 -0.095600 0.543785 -0.012162 -0.426921 -0.183253 0.885443
3.0 -0.354914 -0.136359 0.924901 -0.067080 0.084922 -0.104556 0.988613
3.1 -0.496285 -0.167391 0.851869 -0.082008 0.158316 -0.073088 0.981259
3.2 -0.304159 -0.176733 0.936084 -0.069566 0.100461 -0.071717 0.989912
3.3 -0.246611 -0.208800 0.946354 -0.072999 0.104675 -0.054197 0.990342
3.4 -0.405480 -0.209586 0.889753 -0.073107 0.128357 -0.052791 0.987620
3.5 0.840280 0.087045 0.535119 0.063861 -0.327435 -0.147000 0.931181
3.6 0.480599 0.012210 0.876855 -0.022495 -0.003577 -0.027396 0.999365
3.7 0.255486 0.322659 0.911382 0.026335 0.046893 -0.014816 0.998443
3.8 0.020300 0.275720 0.961024 0.029271 0.088370 0.046749 0.994559
3.9 0.102262 0.185270 0.977352 0.008039 0.110871 -0.020215 0.993597
4.0 0.138285 0.302190 0.943164 0.022091 0.115746 -0.014037 0.992934
4.1 0.788272 0.085942 0.609296 -0.001839 -0.102489 -0.001626 0.994731
4.2 -0.081266 -0.351982 0.932472 -0.104646 0.164973 -0.004935 0.980718
4.3 0.368281 0.213148 0.904951 0.009098 0.074344 -0.018090 0.997027
4.4 0.808679 0.130199 0.573660 0.035069 -0.229243 -0.025576 0.972401
4.5 0.223030 0.245656 0.943351 0.018351 0.102861 -0.049284 0.993305
4.6 0.666573 -0.024399 0.745040 -0.040736 0.707720 0.119473 -0.695125
4.7 0.382227 0.479791 0.789749 0.031572 0.080440 -0.066574 0.994032
4.8 0.712735 -0.011458 0.701340 0.024337 -0.635897 -0.101192 0.764724
4.9 0.718856 -0.020659 0.694852 -0.037318 -0.119959 -0.005786 0.992060
5.0 0.689966 -0.041303 0.722663 -0.042218 -0.098485 -0.011268 0.994179
5.1 0.019311 0.330510 0.943605 0.906634 0.134384 0.003419 0.399930
5.2 0.427071 -0.094956 0.899218 -0.054213 0.010649 -0.056524 0.996871
5.3 0.709058 -0.078911 0.700721 -0.027236 -0.225967 -0.119496 0.966394
5.4 -0.436467 -0.147738 0.887508 -0.076366 0.238907 0.013402 0.967942
5.5 -0.314714 -0.182587 0.931460 -0.087337 0.223205 0.022402 0.970593
5.6 0.333976 -0.138599 0.932336 -0.067754 0.026982 -0.024257 0.997042
5.7 -0.658219 -0.020544 0.752546 -0.048595 0.453554 -0.015947 0.889760
5.8 -0.544561 -0.221575 0.808924 -0.120550 0.348316 0.014661 0.929478
5.9 -0.592023 -0.177142 0.786212 -0.109882 0.383466 -0.011689 0.916920
6.0 -0.553077 -0.232483 0.800036 -0.129574 0.365500 0.008730 0.921707
6.1 -0.107732 -0.172163 0.979160 -0.074532 0.156895 0.003200 0.984794
6.2 -0.671201 -0.068922 0.738064 -0.066282 0.467949 0.015159 0.881136
6.3 -0.612066 -0.215848 0.760779 -0.137576 0.388088 -0.016550 0.911146
6.4 -0.248197 -0.148082 0.957324 -0.067771 0.140348 -0.002437 0.987777
6.5 -0.674606 -0.044342 0.736845 -0.064659 0.415422 -0.036393 0.906598
6.6 -0.251211 -0.172938 0.952358 -0.072153 0.109083 -0.015070 0.991296
6.7 -0.191494 -0.147505 0.970346 -0.058657 0.048167 -0.086688 0.993340
6.8 -0.241952 -0.183492 0.952780 -0.065847 0.033874 -0.117422 0.990317
6.9 0.694491 -0.223278 0.683981 -0.138826 -0.316023 0.047737 0.937325
7.0 0.319549 -0.088233 0.943453 -0.038695 -0.108429 -0.074578 0.990547
7.1 0.291137 -0.101113 0.951323 -0.039794 -0.129117 -0.048809 0.989628
7.2 0.129375 -0.127416 0.983375 -0.047755 -0.090936 -0.038489 0.993966
7.3 -0.105508 -0.154156 0.982397 -0.048813 -0.033212 -0.051797 0.996911
7.4 -0.429201 -0.208953 0.878706 -0.080850 0.056424 -0.045380 0.994093
7.5 -0.469958 -0.183005 0.863510 -0.073794 0.053811 -0.086248 0.992079
7.6 -0.751928 -0.145917 0.642894 -0.135365 0.299640 -0.125619 0.936009
7.7 -0.242918 -0.190428 0.951172 -0.066645 -0.005340 -0.083051 0.994300
7.8 -0.621365 -0.262441 0.738262 -0.165429 0.286512 -0.012107 0.943609
