# timestamp tx ty tz qx qy qz qw
0.00000000 0.76936334 0.19522509 0.60824931 0.06243001 -0.29734704 0.00140600 0.95272517
0.10000000 0.76220906 0.21745494 0.60971361 0.07265547 -0.29450638 0.00300807 0.95287886
0.20000000 0.71879959 0.18535715 0.67005217 0.06134210 -0.26229092 -0.00278162 0.96303317
0.30000000 0.72105992 0.18501213 0.66771483 0.06163984 -0.26674705 -0.00301221 0.96178868
0.40000000 0.71627671 0.14914778 0.68169099 0.04893280 -0.25460400 -0.00528240 0.96579215
0.50000000 0.65221113 0.12618738 0.74746060 0.03939769 -0.22234863 -0.00955930 0.97412398
0.60000000 0.56033933 0.11602618 0.82009619 0.03060877 -0.17730211 -0.01085482 0.98362047
0.70000000 0.56785309 0.08502759 0.81872654 0.02242600 -0.16599210 -0.01943026 0.98568056
0.80000000 0.46173182 0.08707507 0.88273531 0.01978790 -0.08110969 -0.01647433 0.99637255
0.90000000 0.36992267 0.05744800 0.92728472 0.01029334 -0.05726494 -0.01845500 0.99813535
1.00000000 0.28022629 0.02149832 0.95969319 -0.00030411 -0.03489127 -0.02094083 0.99917165
1.10000000 0.23101757 -0.00040941 0.97294950 -0.00673885 -0.02296463 -0.02127034 0.99948726
1.20000000 0.25541803 -0.00126447 0.96682990 -0.00951937 -0.02709445 -0.02167307 0.99935257
1.30000000 0.20205329 -0.02006115 0.97916907 -0.01515755 -0.01457603 -0.02218173 0.99953277
1.40000000 0.09797003 -0.02805770 0.99479377 -0.01946378 0.01977775 -0.01709624 0.99946872
1.50000000 0.16820808 -0.02353818 0.98547047 -0.01014654 -0.03335259 -0.02986488 0.99894581
1.60000000 0.14820877 0.01679383 0.98881352 -0.00627137 -0.02599096 -0.03424897 0.99905563
1.70000000 0.14019272 -0.00436023 0.99011463 -0.01104443 -0.01784978 -0.02398088 0.99949203
1.80000000 0.14338858 -0.02228934 0.98941541 -0.01601556 -0.01432951 -0.01930201 0.99958271
1.90000000 0.11137281 -0.03731875 0.99307775 -0.02047451 -0.00400444 -0.02271126 0.99952437
2.00000000 0.07271090 -0.05685207 0.99573135 -0.02623278 0.00780830 -0.02528154 0.99930562
2.10000000 0.00701536 -0.07328790 0.99728614 -0.03296888 0.02663775 -0.03139783 0.99860786
2.20000000 -0.01216821 -0.08686428 0.99614584 -0.03684273 0.03302623 -0.03418198 0.99819010
2.30000000 0.05771229 -0.08146963 0.99500352 -0.03689382 0.02451982 -0.03791506 0.99829859
2.40000000 0.08931091 -0.08100717 0.99270409 -0.03776289 0.01929387 -0.03359070 0.99853562
2.50000000 0.17305474 -0.06366975 0.98285210 -0.02608022 -0.02295030 -0.04537064 0.99836597
2.60000000 0.16490209 -0.07416826 0.98351735 -0.02871352 -0.02178718 -0.04728270 0.99823104
2.70000000 0.06979150 -0.08197328 0.99418789 -0.03485909 0.02809267 -0.04041494 0.99817948
2.80000000 -0.01238861 -0.09721320 0.99518645 -0.04128052 0.04694599 -0.04146405 0.99718239
2.90000000 0.09120099 -0.10199735 0.99059522 -0.03873994 -0.00199690 -0.05678360 0.99763262
3.00000000 0.03790808 -0.10730225 0.99350351 -0.04159770 0.00670944 -0.06159676 0.99721134
3.10000000 -0.02615477 -0.11636252 0.99286234 -0.04570249 0.02194054 -0.06282026 0.99673643
3.20000000 -0.05938813 -0.12406944 0.99049473 -0.04810567 0.02980826 -0.06373035 0.99636126
3.30000000 -0.08145864 -0.13428019 0.98758966 -0.05061138 0.03731132 -0.06279425 0.99604379
3.40000000 -0.11951444 -0.14383800 0.98235786 -0.05288473 0.04644446 -0.06181782 0.99560267
3.50000000 -0.01067399 -0.12516207 0.99207890 -0.04128573 0.00835976 -0.07104771 0.99658308
3.60000000 0.04846801 -0.11041418 0.99270314 -0.03941038 0.00716651 -0.06668851 0.99696946
3.70000000 0.07386748 -0.05994644 0.99546474 -0.03284177 0.01114758 -0.06151972 0.99750312
3.80000000 0.06798977 -0.02065590 0.99747217 -0.02664028 0.01890826 -0.05071407 0.99817877
3.90000000 0.07212953 0.00324651 0.99738997 -0.02317901 0.02812971 -0.04768307 0.99819726
4.00000000 0.08009334 0.03764085 0.99607641 -0.01865524 0.03692091 -0.04433581 0.99815989
4.10000000 0.16586673 0.04460223 0.98513901 -0.01698577 0.02296607 -0.04009274 0.99878757
4.20000000 0.13896519 -0.00110843 0.99029666 -0.02581719 0.03726665 -0.03661314 0.99830063
4.30000000 0.16615131 0.02358365 0.98581821 -0.02232739 0.04098112 -0.03476477 0.99830529
4.40000000 0.24658930 0.03680602 0.96842092 -0.01659212 0.01375377 -0.03395624 0.99919093
4.50000000 0.24443544 0.06098943 0.96774560 -0.01309941 0.02268422 -0.03550584 0.99902611
4.60000000 0.29593226 0.05190404 0.95379770 -0.00749061 -0.05841298 -0.04605806 0.99720132
4.70000000 0.30910543 0.10150270 0.94559562 -0.00357778 -0.04453485 -0.04816105 0.99783985
4.80000000 0.35894063 0.08981176 0.92902935 -0.00065253 -0.10888337 -0.05480451 0.99254242
4.90000000 0.40347657 0.07813672 0.91164756 -0.00432153 -0.11001062 -0.04990908 0.99266715
5.00000000 0.43852839 0.06516035 0.89635205 -0.00811369 -0.10887265 -0.04604990 0.99295535
5.10000000 0.39668071 0.09594616 0.91292864 0.10809188 -0.08573656 -0.04308493 0.98949941
5.20000000 0.40081549 0.07480028 0.91310012 0.09194021 -0.07617980 -0.04450683 0.99184816
