# timestamp tx ty tz qx qy qz qw
0.00000000 0.78331441 -0.41706660 0.46094903 -0.22050198 -0.14143498 -0.06087499 0.96315588
0.10000000 0.77701873 -0.42971769 0.45998326 -0.22036779 -0.13100061 -0.06058493 0.96467940
0.20000000 0.77238292 -0.43679315 0.46112511 -0.21860601 -0.12476233 -0.05963809 0.96596536
0.30000000 0.76978970 -0.44117463 0.46129036 -0.21702684 -0.11905785 -0.05914298 0.96707119
0.40000000 0.77275527 -0.43964723 0.45777678 -0.21557747 -0.11327646 -0.05919043 0.96808641
0.50000000 0.77831459 -0.43298078 0.45470220 -0.21385204 -0.10997995 -0.05962908 0.96882201
0.60000000 0.78811193 -0.41721156 0.45256394 -0.21278765 -0.11002329 -0.05994151 0.96903215
0.70000000 0.79672831 -0.40251949 0.45077944 -0.21167484 -0.11006402 -0.06014363 0.96925869
0.80000000 0.80223441 -0.39465505 0.44795910 -0.21125927 -0.10818469 -0.06001599 0.96956881
0.90000000 0.80724758 -0.38735771 0.44531488 -0.21088457 -0.10649294 -0.05990093 0.96984475
1.00000000 0.80998874 -0.39025930 0.43773961 -0.20922622 -0.10774280 -0.05905524 0.97011770
1.10000000 0.80670547 -0.40232503 0.43285194 -0.20677620 -0.09941705 -0.05841146 0.97156984
1.20000000 0.79080760 -0.41375768 0.45102978 -0.20140599 -0.09984701 -0.06348911 0.97233499
1.30000000 0.78544801 -0.41137359 0.46243182 -0.19755183 -0.10290249 -0.06765703 0.97252603
1.40000000 0.76132047 -0.44199458 0.47437534 -0.19571474 -0.09581973 -0.06737017 0.97364038
1.50000000 0.75694227 -0.42714676 0.49455437 -0.18432153 -0.09174762 -0.06618627 0.97633361
1.60000000 0.76707709 -0.33628863 0.54635400 -0.14770357 -0.09431516 -0.05979810 0.98270672
1.70000000 0.75069267 -0.37013817 0.54722780 -0.15275822 -0.08804866 -0.05964327 0.98252483
1.90000000 0.74278235 -0.37923759 0.55177283 -0.15368316 -0.07965542 -0.05863434 0.98315742
2.00000000 0.72816128 -0.39337304 0.56128311 -0.15377033 -0.07024989 -0.05818557 0.98388723
2.10000000 0.71587980 -0.41836399 0.55900598 -0.16030572 -0.06089543 -0.06017278 0.98334788
2.20000000 0.68775463 -0.39413300 0.60963327 -0.14623011 -0.05026112 -0.05377946 0.98650816
2.30000000 0.67596304 -0.41804427 0.60688788 -0.14674451 -0.05445624 -0.05571338 0.98610171
2.40000000 0.66718268 -0.39292598 0.63283211 -0.13958031 -0.05578357 -0.05688897 0.98700009
2.50000000 0.66258448 -0.36093819 0.65628147 -0.13181218 -0.07149460 -0.05510171 0.98715646
2.60000000 0.63009143 -0.39355552 0.66940188 -0.13829040 -0.07712046 -0.05355377 0.98593113
2.70000000 0.61615098 -0.41785190 0.66765088 -0.13783640 -0.07139734 -0.05474510 0.98636024
2.80000000 0.58496273 -0.44551474 0.67774278 -0.13641500 -0.06364303 -0.05506587 0.98707055
2.90000000 0.55392486 -0.42935535 0.71331704 -0.13104617 -0.05494259 -0.05390376 0.98838383
3.00000000 0.56715792 -0.46188360 0.68190575 -0.13372643 -0.05719842 -0.05558846 0.98780337
3.10000000 0.53794515 -0.47227234 0.69826490 -0.13145812 -0.06665045 -0.05962507 0.98727976
3.20000000 0.52989334 -0.48773926 0.69377482 -0.13252695 -0.05982750 -0.05913986 0.98760303
3.30000000 0.52557981 -0.49787688 0.68984383 -0.13478134 -0.05585919 -0.05980857 0.98749009
3.40000000 0.50259537 -0.51822579 0.69198257 -0.13730428 -0.05023961 -0.06015057 0.98742363
3.50000000 0.48610502 -0.53333765 0.69228089 -0.13786667 -0.04437055 -0.06009500 0.98762980
3.60000000 0.47105208 -0.55975503 0.68175089 -0.14337698 -0.04519790 -0.06313584 0.98661748
3.70000000 0.45053226 -0.56962854 0.68741840 -0.14377186 -0.04863578 -0.06384497 0.98635087
