# timestamp tx ty tz qx qy qz qw
0.10000000 -0.67649096 -0.59248269 -0.43740630 -0.12432726 0.05393001 -0.00340729 0.99076873
0.20000000 -0.68133545 -0.58851528 -0.43523756 -0.12390696 0.05508086 -0.00442581 0.99075404
0.30000000 -0.68949866 -0.58313000 -0.42959392 -0.12360096 0.05727501 -0.00586303 0.99066039
0.40000000 -0.69833308 -0.59427959 -0.39895192 -0.12966772 0.06278665 -0.01189717 0.98949612
0.50000000 -0.70497340 -0.60390306 -0.37190539 -0.13526977 0.06779588 -0.01707646 0.98833911
0.60000000 -0.71005905 -0.61170453 -0.34876019 -0.14016859 0.07222176 -0.02158964 0.98725411
0.70000000 -0.71419984 -0.61829430 -0.32807127 -0.14468559 0.07630017 -0.02564139 0.98619820
0.80000000 -0.71674514 -0.62484258 -0.30959350 -0.14901495 0.07983999 -0.02920998 0.98517354
1.00000000 -0.71855563 -0.63052642 -0.29345232 -0.15313781 0.08270943 -0.03236784 0.98420541
1.10000000 -0.72112328 -0.63427198 -0.27871186 -0.15695229 0.08552837 -0.03511772 0.98326885
1.30000000 -0.61680210 -0.73919600 -0.27045238 -0.20825347 0.09147213 0.10759564 0.96782567
1.60000000 -0.64332163 -0.72241592 -0.25348088 -0.20696641 0.09477382 0.09073572 0.96951011
1.70000000 -0.48983064 -0.84598488 -0.21065508 -0.24350172 0.11557091 0.22043196 0.93742201
1.80000000 -0.54304725 -0.81515437 -0.20155165 -0.24015406 0.11693565 0.19204122 0.94433694
2.80000000 -0.46559599 -0.85791188 -0.21727300 -0.23794439 0.13810792 0.31532559 0.90822819
3.40000000 -0.26710999 -0.95915377 -0.09314648 -0.28854330 0.11807624 0.40498660 0.85952698
5.60000000 -0.25325665 -0.91803211 -0.30508700 -0.18619168 0.12314427 0.70620872 0.67189091
5.70000000 -0.43621776 -0.85445505 -0.28217131 -0.19112705 0.13418032 0.64269453 0.72966419
5.80000000 -0.56272036 -0.78549075 -0.25758514 -0.19455153 0.14316542 0.58150480 0.77685619
5.90000000 -0.64916825 -0.72331321 -0.23536897 -0.19671786 0.15052631 0.52345922 0.81525110
6.00000000 -0.56505442 -0.77718067 -0.27695429 -0.19604246 0.16149390 0.59849612 0.75979568
6.10000000 -0.64705896 -0.71978748 -0.25143725 -0.19871448 0.16792389 0.53914170 0.80102456
6.20000000 -0.70359850 -0.67135310 -0.23288226 -0.19976319 0.17197087 0.48346878 0.83473267
6.30000000 -0.74256217 -0.63327765 -0.21808450 -0.20049255 0.17423036 0.43185747 0.86194294
6.40000000 -0.77191675 -0.60130972 -0.20632777 -0.20015561 0.17554825 0.38445833 0.88391874
6.50000000 -0.79370934 -0.57537657 -0.19740129 -0.19935325 0.17588036 0.34111103 0.90164718
