frame,timestamp_wall,timestamp,duplicated,late
0,1781700664.848485947,0.000000000,0,0.000000
1,1781700664.948485851,0.100000000,0,0.009000
2,1781700665.048485994,0.200000000,0,0.003000
3,1781700665.148485899,0.300000000,0,0.012000
4,1781700665.248486042,0.400000000,0,0.006000
5,1781700665.348485947,0.500000000,0,0.000000
6,1781700665.448485851,0.600000000,0,0.009000
7,1781700665.548485994,0.700000000,0,0.003000
8,1781700665.648485899,0.800000000,0,0.028000
9,1781700665.748486042,0.900000000,0,0.069000
10,1781700665.848485947,1.000000000,0,0.094000
11,1781700665.948485851,1.100000000,0,0.150000
12,1781700666.048485994,1.200000000,0,0.175000
13,1781700666.148485899,1.300000000,0,0.200000
14,1781700666.248486042,1.400000000,0,0.241000
15,1781700666.348485947,1.500000000,0,0.281000
16,1781700666.448485851,1.600000000,0,0.322000
17,1781700666.548485994,1.700000000,0,0.347000
18,1781700666.648485899,1.800000000,0,0.372000
19,1781700666.748486042,1.900000000,0,0.412000
20,1781700666.848485947,2.000000000,0,0.453000
21,1781700666.948485851,2.100000000,0,0.494000
22,1781700667.048485994,2.200000000,0,0.503000
23,1781700667.148485899,2.300000000,0,0.544000
24,1781700667.248486042,2.400000000,0,0.600000
25,1781700667.348485947,2.500000000,0,0.625000
26,1781700667.448485851,2.600000000,0,0.666000
27,1781700667.548485994,2.700000000,0,0.691000
28,1781700667.648485899,2.800000000,0,0.716000
29,1781700667.748486042,2.900000000,0,0.772000
30,1781700667.848485947,3.000000000,0,0.797000
31,1781700667.948485851,3.100000000,0,0.837000
32,1781700668.048485994,3.200000000,0,0.862000
33,1781700668.148485899,3.300000000,0,0.887000
34,1781700668.248486042,3.400000000,0,0.944000
35,1781700668.348485947,3.500000000,0,0.969000
36,1781700668.448485851,3.600000000,0,0.994000
37,1781700668.548485994,3.700000000,0,1.034000
38,1781700668.648485899,3.800000000,0,1.075000
39,1781700668.748486042,3.900000000,0,1.100000
40,1781700668.848485947,4.000000000,0,1.141000
41,1781700668.948485851,4.100000000,0,1.166000
42,1781700669.048485994,4.200000000,0,1.206000
43,1781700669.148485899,4.300000000,0,1.231000
44,1781700669.248486042,4.400000000,0,1.287000
45,1781700669.348485947,4.500000000,0,1.297000
46,1781700669.448485851,4.600000000,0,1.337000
47,1781700669.548485994,4.700000000,0,1.378000
48,1781700669.648485899,4.800000000,0,1.403000
49,1781700669.748486042,4.900000000,0,1.459000
50,1781700669.848485947,5.000000000,0,1.484000
51,1781700669.948485851,5.100000000,0,1.509000
52,1781700670.048485994,5.200000000,0,1.550000
53,1781700670.148485899,5.300000000,0,1.575000
54,1781700670.248486042,5.400000000,0,1.616000
55,1781700670.348485947,5.500000000,0,1.656000
56,1781700670.448485851,5.600000000,0,1.681000
57,1781700670.548485994,5.700000000,0,1.722000
58,1781700670.648485899,5.800000000,0,1.747000
59,1781700670.748486042,5.900000000,0,1.787000
60,1781700670.848485947,6.000000000,0,1.828000
61,1781700670.948485851,6.100000000,0,1.853000
62,1781700671.048485994,6.200000000,0,1.894000
63,1781700671.148485899,6.300000000,0,1.934000
64,1781700671.248486042,6.400000000,0,1.959000
65,1781700671.348485947,6.500000000,0,1.984000
66,1781700671.448485851,6.600000000,0,2.025000
67,1781700671.548485994,6.700000000,0,2.066000
68,1781700671.648485899,6.800000000,0,2.091000
69,1781700671.748486042,6.900000000,0,2.116000
70,1781700671.848485947,7.000000000,0,2.172000
71,1781700671.948485851,7.100000000,0,2.197000
72,1781700672.048485994,7.200000000,0,2.237000
73,1781700672.148485899,7.300000000,0,2.262000
74,1781700672.248486042,7.400000000,0,2.287000
75,1781700672.348485947,7.500000000,0,2.344000
76,1781700672.448485851,7.600000000,0,2.369000
77,1781700672.548485994,7.700000000,0,2.409000
78,1781700672.648485899,7.800000000,0,2.450000
79,1781700672.748486042,7.900000000,0,2.475000
80,1781700672.848485947,8.000000000,0,2.516000
81,1781700672.948485851,8.100000000,0,2.541000
82,1781700673.048485994,8.200000000,0,2.597000
83,1781700673.148485899,8.300000000,0,2.622000
84,1781700673.248486042,8.400000000,0,2.631000
85,1781700673.348485947,8.500000000,0,2.672000
86,1781700673.448485851,8.600000000,0,2.712000
87,1781700673.548485994,8.700000000,0,2.753000
88,1781700673.648485899,8.800000000,0,2.778000
89,1781700673.748486042,8.900000000,0,2.819000
90,1781700673.848485947,9.000000000,0,2.859000
91,1781700673.948485851,9.100000000,0,2.884000
92,1781700674.048485994,9.200000000,0,2.909000
93,1781700674.148485899,9.300000000,0,2.966000
94,1781700674.248486042,9.400000000,0,2.991000
95,1781700674.348485947,9.500000000,0,3.031000
96,1781700674.448485851,9.600000000,0,3.056000
97,1781700674.548485994,9.700000000,0,3.081000
98,1781700674.648485899,9.800000000,0,3.122000
99,1781700674.748486042,9.900000000,0,3.162000
